Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
24,tt13320622,2022-04-08,2022-07-04,"Opening Weekend: $30,453,269
Domestic: $105,344,029
International: $85,500,000

TOTAL: $190,844,029",The Lost City,https://www.imdb.com/title/tt13320622/,movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",126315,2022-03-12,"Adam Nee, Aaron Nee"
25,tt16183464,2022-08-23,2023-01-18,"Opening Weekend: $9,323,267
Domestic: $12,775,324
International: $172,125,665

TOTAL: $184,900,989 (Japanese movie) ",One Piece Film Red,https://www.imdb.com/title/tt16183464/,movie,6.9,115,2022,"Animation, Action, Adventure, Fantasy",8736,2022-08-06,Gorô Taniguchi
26,tt10954984,2022-07-25,2023-01-18,"Opening Weekend: $44,366,910
Domestic: $123,277,080
International: $47,958,512

TOTAL: $171,235,592",Nope,https://www.imdb.com/title/tt10954984/,movie,6.9,130,2022,"Horror, Mystery, Sci-Fi, Thriller",195934,2022-07-18,Jordan Peele
27,tt14109724,2022-10-31,2023-01-04,"Opening Weekend: $16,509,095
Domestic: $68,248,335
International: $99,474,746

TOTAL: $167,723,081",Ticket to Paradise,https://www.imdb.com/title/tt14109724/,movie,6.2,104,2022,"Comedy, Romance",38673,2022-09-08,Ol Parker
28,tt5108870,2022-04-08,2022-08-01,"Opening Weekend: $39,005,895
Domestic: $73,865,530
International: $90,000,000

TOTAL: $163,865,530",Morbius,https://www.imdb.com/title/tt5108870/,movie,5.2,104,2022,"Action, Adventure, Horror, Sci-Fi, Thriller",129906,2022-03-23,Daniel Espinosa
29,tt7144666,2022-06-27,2023-01-18,"Opening Weekend: $23,633,220
Domestic: $90,123,230
International: $71,317,512

TOTAL: $161,440,742",The Black Phone,https://www.imdb.com/title/tt7144666/,movie,6.9,103,2021,"Horror, Thriller",149192,2021-09-25,Scott Derrickson
30,tt9411972,2022-07-19,2023-01-04,"Opening Weekend: $17,253,227
Domestic: $90,230,760
International: $50,000,000

TOTAL: $140,230,760",Where the Crawdads Sing,https://www.imdb.com/title/tt9411972/,movie,7.1,125,2022,"Drama, Mystery, Romance, Thriller",78073,2022-06-26,Olivia Newman
31,tt11245972,2022-04-08,2022-09-08,"Opening Weekend: $30,018,805
Domestic: $71,457,347
International: $58,400,000

TOTAL: $140,041,405",Scream,https://www.imdb.com/title/tt11245972/,movie,6.3,114,2022,"Horror, Mystery, Thriller",118555,2022-01-12,"Matt Bettinelli-Olpin, Tyler Gillett"
32,tt7657566,2022-04-08,2022-08-01,"Opening Weekend: $12,891,123
Domestic: $45,630,104
International: $91,677,131

TOTAL: $137,307,235",Death on the Nile,https://www.imdb.com/title/tt7657566/,movie,6.3,127,2022,"Crime, Drama, Mystery",154209,2022-02-09,Kenneth Branagh
33,tt6710474,2022-04-10,2023-01-31,"Opening Weekend: $501,305
Domestic: $71,023,171
International: $34,101,836

TOTAL: $105,125,007",Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,movie,8.0,139,2022,"Action, Adventure, Comedy, Fantasy, Sci-Fi",310352,2022-03-11,"Dan Kwan, Daniel Scheinert"
